post_id,username,caption,hashtags,mentions,likes,comment_count,clean_caption
3833203727428033424_2091666763,indiancricketteam,"✌️ in ✌️

Varun Chakaravarthy joins the wicket-taking party 🥳

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,180304,0,varun chakaravarthi join wickettak parti teamindia tworldcup meninblu
3833195709093190513_2091666763,indiancricketteam,"c Shivam Dube ✖️ 2️⃣

Kuldeep Yadav and Tilak Varma with the wickets and #TeamIndia have 7️⃣ 💪 

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,212615,0,c shivam dube kuldeep yadav tilak varma wicket teamindia tworldcup meninblu
3833191813859881660_2091666763,indiancricketteam,"Spinning things our way 💪

Axar Patel gets his second breakthrough!

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,120774,0,spin thing way axar patel get second breakthrough teamindia tworldcup meninblu
3833180260725314000_376525195,icc,"A peach of a delivery from Axar Patel 👏

Babar Azam is dismissed as India claim another important wicket 🇮🇳

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,504247,0,peach deliveri axar patel babar azam dismiss india claim anoth import wicket tworldcup broadcast detail bio
3833179857610411604_2091666763,indiancricketteam,"Through the gate and BOWLED \|/

Vice-captain Axar Patel with #TeamIndia's 4⃣th wicket within the powerplay 👏

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,113578,0,gate bowl vicecaptain axar patel teamindia th wicket within powerplay tworldcup meninblu
3833170832298358291_2091666763,indiancricketteam,"Striking early and striking big 😎

Hardik Pandya 🤝 Jasprit Bumrah 

#TeamIndia with 3️⃣ wickets in no time 👏

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,239677,0,strike earli strike big hardik pandya jasprit bumrah teamindia wicket time tworldcup meninblu
3833162149259275413_376525195,icc,"A massive 6️⃣ from Rinku Singh ensures India have a competitive total on the board 💪

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,1077299,0,massiv rinku singh ensur india competit total board tworldcup broadcast detail bio
3833161814821577370_2091666763,indiancricketteam,"Innings Break!

Ishan Kishan's half-century and contributions from the middle order help #TeamIndia finish with 1️⃣7️⃣5️⃣ 👏

Time for the bowlers now! 👌

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,119668,0,inning break ishan kishan halfcenturi contribut middl order help teamindia finish time bowler tworldcup meninblu
3833155083139830320_2091666763,indiancricketteam,"Entering the final phase 💪

#TeamIndia 154/4 after 18 overs!

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,126417,0,enter final phase teamindia over tworldcup meninblu
3833140974096800264_2091666763,indiancricketteam,"Ticking along nicely 👌

Captain Surya Kumar Yadav 🤝 Tilak Varma 

#TeamIndia 118/2 after 13 overs.

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,101083,0,tick along nice captain surya kumar yadav tilak varma teamindia over tworldcup meninblu
3833132615889408861_2091666763,indiancricketteam,"7⃣7⃣ Runs
4⃣0⃣ Deliveries
🔟 Fours
3⃣ Sixes

What an incredible knock from Ishan Kishan! 🙌 💪

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,336588,0,run deliveri four six incred knock ishan kishan teamindia tworldcup meninblu
3833130666326924804_376525195,icc,"Huge from Ishan Kishan 💪

The opener sends a big maximum over deep mid-wicket to keep adding to India’s total 🇮🇳

#T20WorldCup broadcast details in our bio!",#T20WorldCup,,366000,0,huge ishan kishan open send big maximum deep midwicket keep ad india total tworldcup broadcast detail bio
3833124363646646396_2091666763,indiancricketteam,"Half-Century in no time! 👊

Ishan Kishan brings up his 5️⃣0️⃣ off just 27 balls! 

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,219574,0,halfcenturi time ishan kishan bring ball teamindia tworldcup meninblu
3833122107102660240_2091666763,indiancricketteam,"Taking on the bowling early 🔥

A fifty-plus partnership from Ishan Kishan and Tilak Varma makes it 52/1 after 6 overs 👌

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,104552,0,take bowl earli fiftyplu partnership ishan kishan tilak varma make over teamindia tworldcup meninblu
3833099598328339449_2091666763,indiancricketteam,"Here's how #TeamIndia lineup for our 3️⃣rd match of #T20WorldCup 2026! 🙌

#MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,291026,0,here teamindia lineup rd match tworldcup meninblu
3833098259179367935_2091666763,indiancricketteam,"🚨 Toss 🚨

#TeamIndia have been put into bat.

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,161368,0,toss teamindia put bat tworldcup meninblu
3833077304176505116_2091666763,indiancricketteam,"𝐒𝐡𝐨𝐰𝐭𝐢𝐦𝐞 𝐢𝐧 𝐂𝐨𝐥𝐨𝐦𝐛𝐨 🏟️

#TeamIndia are all set for their Match 3️⃣ of #T20WorldCup 2026 💙

#MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,222039,0,𝐒𝐡𝐨𝐰𝐭𝐢𝐦𝐞 𝐢𝐧 𝐂𝐨𝐥𝐨𝐦𝐛𝐨 teamindia set match tworldcup meninblu
3833056420661378190_2091666763,indiancricketteam,"4⃣ Overs
2⃣2⃣ Runs
4⃣ Wickets 🔥

Arundhati Reddy is the Player of the Match for her excellent spell of bowling 🙌

#TeamIndia | #AUSvIND️","#TeamIndia, #AUSvIND",,84447,0,over run wicket arundhati reddi player match excel spell bowl teamindia ausvind
3833048088819137205_2091666763,indiancricketteam,"The match has been called off due to rain.

#TeamIndia win the 1⃣st T20I by 21 runs (DLS Method) 👏

#AUSvIND️","#TeamIndia, #AUSvIND",,87983,0,match call due rain teamindia win st ti run dl method ausvind
3833005976866493847_2091666763,indiancricketteam,"📍 Colombo

All pumped up for our next challenge in the #T20WorldCup 🙌

#TeamIndia | #MenInBlue","#T20WorldCup, #TeamIndia, #MenInBlue",,149048,0,colombo pump next challeng tworldcup teamindia meninblu
3833004462823023562_2091666763,indiancricketteam,"Innings Break! 

Fantastic 4⃣-fer for Arundhati Reddy 🫡

2⃣ wickets each for Renuka Singh Thakur and Sree Charani 👏

Over to our batters to chase down 1️⃣3️⃣4️⃣! ⌛

#TeamIndia | #AUSvIND️","#TeamIndia, #AUSvIND",,61363,0,inning break fantast fer arundhati reddi wicket renuka singh thakur sree charani batter chase teamindia ausvind
3833003732023924582_2091666763,indiancricketteam,"🔝 Performance
Win by 8 wickets 👌
2️⃣ points on the board 🙌

Vrinda Dinesh was the Player of the Match for leading the chase superbly with her unbeaten 55* 🏆

#WomensRisingStarsAsiaCup",#WomensRisingStarsAsiaCup,,75593,0,perform win wicket point board vrinda dinesh player match lead chase superbl unbeaten womensrisingstarsasiacup
3832995244665555013_2091666763,indiancricketteam,"On fire at the SCG 🔥

Arundhati Reddy with her 3⃣rd 🔝
Sree Charani with her 1⃣st 👌

Wicket No. 7⃣ for #TeamIndia 

#AUSvIND","#TeamIndia, #AUSvIND",,75992,0,fire scg arundhati reddi rd sree charani st wicket teamindia ausvind
3832984254146559292_2091666763,indiancricketteam,"Two more bite the dust! 💪

Deepti Sharma joins the wickets, Arundhati Reddy with her 2️⃣nd ☝️

#TeamIndia have Australia 87/5️⃣ after 10 overs.

#AUSvIND","#TeamIndia, #AUSvIND",,64174,0,two bite dust deepti sharma join wicket arundhati reddi nd teamindia australia over ausvind
3832980453234103957_8547272193,asiancricketcouncil,"The opposition struggled for fluency in the first half but Anushka Sharma is making batting look absolutely effortless out here 😮‍💨

#DPWorldWomensAsiaCupRisingStars2026 #INDWvPAKW #ACC","#DPWorldWomensAsiaCupRisingStars2026, #INDWvPAKW, #ACC",,215175,0,opposit struggl fluenci first half anushka sharma make bat look absolut effortless dpworldwomensasiacuprisingstar indwvpakw acc
3832979689871422491_2091666763,indiancricketteam,"Take a bow, Captain 🙇‍♀️

Skipper Harmanpreet Kaur with a fantastic catch to send back Ellyse Perry 🙌

#TeamIndia | #AUSvIND | @imharmanpreet_kaur","#TeamIndia, #AUSvIND",@imharmanpreet_kaur,134356,0,take bow captain skipper harmanpreet kaur fantast catch send back ellys perri teamindia ausvind
3832973149634165458_2091666763,indiancricketteam,"Wickets in 🔙 to 🔙 overs 👏

Renuka Singh Thakur 🤝 Kranti Gaud as #TeamIndia have 2️⃣ early strikes 👌

Australia 49/2 after 6 overs.

#AUSvIND","#TeamIndia, #AUSvIND",,92682,0,wicket over renuka singh thakur kranti gaud teamindia earli strike australia over ausvind
3832972210571051291_8547272193,asiancricketcouncil,"Vrinda Dinesh is wasting no time out in the middle! She’s finding the gaps with ease, timing it to perfection and India are off to a solid start in this chase 👏

#DPWorldWomensAsiaCupRisingStars2026 #INDWvPAKW #ACC","#DPWorldWomensAsiaCupRisingStars2026, #INDWvPAKW, #ACC",,160110,0,vrinda dinesh wast time middl she find gap eas time perfect india solid start chase dpworldwomensasiacuprisingstar indwvpakw acc
3832964117997992880_2091666763,indiancricketteam,"Innings Break!

India A bowlers with a strong performance 😎

2️⃣ wickets each for Saima Thakor, Radha Yadav and Prema Rawat
1️⃣ wicket each for Jintimani Kalita and Minnu Mani

Our batters have begun their chase of 94 🎯 

#WomensRisingStarsAsiaCup",#WomensRisingStarsAsiaCup,,102065,0,inning break india bowler strong perform wicket saima thakor radha yadav prema rawat wicket jintimani kalita minnu mani batter begun chase womensrisingstarsasiacup
3832947044688995189_2091666763,indiancricketteam,"Here is a look at #TeamIndia's Playing XI for the 1️⃣st T20I 🙌

#AUSvIND","#TeamIndia, #AUSvIND",,94704,0,look teamindia play xi st ti ausvind
3832945800675200758_2091666763,indiancricketteam,"🚨 Toss 🚨

#TeamIndia have won the toss and elected to bowl first.

#AUSvIND","#TeamIndia, #AUSvIND",,195415,0,toss teamindia toss elect bowl first ausvind
3832939385285280136_8547272193,asiancricketcouncil,"The skipper is unplayable on this surface, which is offering sharp turn! She picks up the crucial wicket of Zulfiqar, who was looking solid in the middle 🫵

#DPWorldWomensAsiaCupRisingStars2026 #INDWvPAKW #ACC","#DPWorldWomensAsiaCupRisingStars2026, #INDWvPAKW, #ACC",,217271,0,skipper unplay surfac offer sharp turn pick crucial wicket zulfiqar look solid middl dpworldwomensasiacuprisingstar indwvpakw acc
