post_id,username,caption,hashtags,mentions,likes,comment_count
3757158876308143282_2091666763,indiancricketteam,"𝐂.𝐇.𝐀.𝐌.𝐏.𝐈.𝐎.𝐍.𝐒 🏆

Congratulations to #TeamIndia on winning their maiden ICC Women's Cricket World Cup 🇮🇳 

Take. A. Bow 🙌

#WomenInBlue | #CWC25 | #Final | #INDvSA","#TeamIndia, #WomenInBlue, #CWC25, #Final, #INDvSA",,4736442,0
3584595824401203523_2091666763,indiancricketteam,"𝗖. 𝗛. 𝗔. 𝗠. 𝗣. 𝗜. 𝗢. 𝗡. 𝗦! 🏆 🏆 🏆

The Rohit Sharma-led #TeamIndia are the ICC #ChampionsTrophy 2025 𝙒𝙄𝙉𝙉𝙀𝙍𝙎 👏 👏

Take A Bow! 🙌 🙌

#INDvNZ | #Final","#TeamIndia, #ChampionsTrophy, #INDvNZ, #Final",,6090099,0
3833711483344354403_2091666763,indiancricketteam,"Sixes, crucial catches, BIG IMPACT 😎

🎥 Presenting our 𝗜𝗺𝗽𝗮𝗰𝘁 𝗣𝗹𝗮𝘆𝗲𝗿 𝗼𝗳 𝘁𝗵𝗲 𝗠𝗮𝘁𝗰𝗵 in Colombo, ft. fun dressing room BTS 🏅😊

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,130993,0
3833606553107385019_2091666763,indiancricketteam,"A tale from one four-wicket haul to another ❤️

And a Successful Sydney outing 🏟️

Hear it from Arundhati Reddy 🙌

#TeamIndia | #AUSvIND","#TeamIndia, #AUSvIND",,77500,0
3833545107770140826_2091666763,indiancricketteam,"The Unfolding

Raw. Real. Colombo.

#TeamIndia 🇮🇳 | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,233200,0
3833215102363713600_2091666763,indiancricketteam,"A special knock to guide a big victory ✨

Ishan Kishan wins the Player of the Match award in Colombo 🫡

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,354689,0
3833213167137010882_2091666763,indiancricketteam,"3️⃣/3️⃣ for #TeamIndia 💙

The #MenInBlue win by 6️⃣1️⃣ runs to qualify for the Super 8 stage! 💪

#T20WorldCup","#TeamIndia, #MenInBlue, #T20WorldCup",,352881,0
3833210835465041149_376525195,icc,"Super 8 qualification ✅ 

India get the job done against Pakistan to remain unbeaten at #T20WorldCup 2026 👏

Tournament broadcast details in our bio 📺",#T20WorldCup,,1318878,0
3833206345915568439_42437564971,jayshah220988,"Fantastic atmosphere in Colombo with ICC Men’s #T20WorldCup ambassador @rohitsharma45 in attendance, giving cricket fans a thrill as he promotes this great tournament globally on TV and social media.",#T20WorldCup,@rohitsharma45,1526163,0
3833204216912074439_376525195,icc,"Two of a kind 🤩

@hanumankind and @ishankishan23 both set the stage alight in Colombo 🎇

#T20WorldCup",#T20WorldCup,"@hanumankind, @ishankishan23",2419302,0
3833203727428033424_2091666763,indiancricketteam,"✌️ in ✌️

Varun Chakaravarthy joins the wicket-taking party 🥳

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,180304,0
3833195709093190513_2091666763,indiancricketteam,"c Shivam Dube ✖️ 2️⃣

Kuldeep Yadav and Tilak Varma with the wickets and #TeamIndia have 7️⃣ 💪 

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,212615,0
3833191813859881660_2091666763,indiancricketteam,"Spinning things our way 💪

Axar Patel gets his second breakthrough!

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,105825,0
3833180260725314000_376525195,icc,"A peach of a delivery from Axar Patel 👏

Babar Azam is dismissed as India claim another important wicket 🇮🇳

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,450325,0
3833179857610411604_2091666763,indiancricketteam,"Through the gate and BOWLED \|/

Vice-captain Axar Patel with #TeamIndia's 4⃣th wicket within the powerplay 👏

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,101450,0
3833170832298358291_2091666763,indiancricketteam,"Striking early and striking big 😎

Hardik Pandya 🤝 Jasprit Bumrah 

#TeamIndia with 3️⃣ wickets in no time 👏

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,220298,0
3833162149259275413_376525195,icc,"A massive 6️⃣ from Rinku Singh ensures India have a competitive total on the board 💪

#T20WorldCup broadcast details in our bio 📺",#T20WorldCup,,887636,0
3833161814821577370_2091666763,indiancricketteam,"Innings Break!

Ishan Kishan's half-century and contributions from the middle order help #TeamIndia finish with 1️⃣7️⃣5️⃣ 👏

Time for the bowlers now! 👌

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,112558,0
3833155083139830320_2091666763,indiancricketteam,"Entering the final phase 💪

#TeamIndia 154/4 after 18 overs!

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,110920,0
3833140974096800264_2091666763,indiancricketteam,"Ticking along nicely 👌

Captain Surya Kumar Yadav 🤝 Tilak Varma 

#TeamIndia 118/2 after 13 overs.

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,89085,0
3833132615889408861_2091666763,indiancricketteam,"7⃣7⃣ Runs
4⃣0⃣ Deliveries
🔟 Fours
3⃣ Sixes

What an incredible knock from Ishan Kishan! 🙌 💪

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,314450,0
3833130666326924804_376525195,icc,"Huge from Ishan Kishan 💪

The opener sends a big maximum over deep mid-wicket to keep adding to India’s total 🇮🇳

#T20WorldCup broadcast details in our bio!",#T20WorldCup,,338458,0
3833124363646646396_2091666763,indiancricketteam,"Half-Century in no time! 👊

Ishan Kishan brings up his 5️⃣0️⃣ off just 27 balls! 

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,205780,0
3833122107102660240_2091666763,indiancricketteam,"Taking on the bowling early 🔥

A fifty-plus partnership from Ishan Kishan and Tilak Varma makes it 52/1 after 6 overs 👌

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,94011,0
3833099598328339449_2091666763,indiancricketteam,"Here's how #TeamIndia lineup for our 3️⃣rd match of #T20WorldCup 2026! 🙌

#MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,265799,0
3833098259179367935_2091666763,indiancricketteam,"🚨 Toss 🚨

#TeamIndia have been put into bat.

#T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,144436,0
3833077304176505116_2091666763,indiancricketteam,"𝐒𝐡𝐨𝐰𝐭𝐢𝐦𝐞 𝐢𝐧 𝐂𝐨𝐥𝐨𝐦𝐛𝐨 🏟️

#TeamIndia are all set for their Match 3️⃣ of #T20WorldCup 2026 💙

#MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,203372,0
3833056420661378190_2091666763,indiancricketteam,"4⃣ Overs
2⃣2⃣ Runs
4⃣ Wickets 🔥

Arundhati Reddy is the Player of the Match for her excellent spell of bowling 🙌

#TeamIndia | #AUSvIND️","#TeamIndia, #AUSvIND",,76086,0
3833048088819137205_2091666763,indiancricketteam,"The match has been called off due to rain.

#TeamIndia win the 1⃣st T20I by 21 runs (DLS Method) 👏

#AUSvIND️","#TeamIndia, #AUSvIND",,81620,0
3833005976866493847_2091666763,indiancricketteam,"📍 Colombo

All pumped up for our next challenge in the #T20WorldCup 🙌

#TeamIndia | #MenInBlue","#T20WorldCup, #TeamIndia, #MenInBlue",,142984,0
3833004462823023562_2091666763,indiancricketteam,"Innings Break! 

Fantastic 4⃣-fer for Arundhati Reddy 🫡

2⃣ wickets each for Renuka Singh Thakur and Sree Charani 👏

Over to our batters to chase down 1️⃣3️⃣4️⃣! ⌛

#TeamIndia | #AUSvIND️","#TeamIndia, #AUSvIND",,55920,0
3833003732023924582_2091666763,indiancricketteam,"🔝 Performance
Win by 8 wickets 👌
2️⃣ points on the board 🙌

Vrinda Dinesh was the Player of the Match for leading the chase superbly with her unbeaten 55* 🏆

#WomensRisingStarsAsiaCup",#WomensRisingStarsAsiaCup,,66300,0
3832995244665555013_2091666763,indiancricketteam,"On fire at the SCG 🔥

Arundhati Reddy with her 3⃣rd 🔝
Sree Charani with her 1⃣st 👌

Wicket No. 7⃣ for #TeamIndia 

#AUSvIND","#TeamIndia, #AUSvIND",,66814,0
3832984254146559292_2091666763,indiancricketteam,"Two more bite the dust! 💪

Deepti Sharma joins the wickets, Arundhati Reddy with her 2️⃣nd ☝️

#TeamIndia have Australia 87/5️⃣ after 10 overs.

#AUSvIND","#TeamIndia, #AUSvIND",,54409,0
3832980453234103957_8547272193,asiancricketcouncil,"The opposition struggled for fluency in the first half but Anushka Sharma is making batting look absolutely effortless out here 😮‍💨

#DPWorldWomensAsiaCupRisingStars2026 #INDWvPAKW #ACC","#DPWorldWomensAsiaCupRisingStars2026, #INDWvPAKW, #ACC",,197646,0
3832979689871422491_2091666763,indiancricketteam,"Take a bow, Captain 🙇‍♀️

Skipper Harmanpreet Kaur with a fantastic catch to send back Ellyse Perry 🙌

#TeamIndia | #AUSvIND | @imharmanpreet_kaur","#TeamIndia, #AUSvIND",@imharmanpreet_kaur,118121,0
3832973149634165458_2091666763,indiancricketteam,"Wickets in 🔙 to 🔙 overs 👏

Renuka Singh Thakur 🤝 Kranti Gaud as #TeamIndia have 2️⃣ early strikes 👌

Australia 49/2 after 6 overs.

#AUSvIND","#TeamIndia, #AUSvIND",,79996,0
3832972210571051291_8547272193,asiancricketcouncil,"Vrinda Dinesh is wasting no time out in the middle! She’s finding the gaps with ease, timing it to perfection and India are off to a solid start in this chase 👏

#DPWorldWomensAsiaCupRisingStars2026 #INDWvPAKW #ACC","#DPWorldWomensAsiaCupRisingStars2026, #INDWvPAKW, #ACC",,145653,0
3832964117997992880_2091666763,indiancricketteam,"Innings Break!

India A bowlers with a strong performance 😎

2️⃣ wickets each for Saima Thakor, Radha Yadav and Prema Rawat
1️⃣ wicket each for Jintimani Kalita and Minnu Mani

Our batters have begun their chase of 94 🎯 

#WomensRisingStarsAsiaCup",#WomensRisingStarsAsiaCup,,95388,0
